model,validation_mae,validation_mse,validation_rmse,validation_r2,test_mae,test_mse,test_rmse,test_r2,fit_seconds,predict_seconds,best_params
inventory_only_linear,68.62065416501677,7712.890041690727,87.8230609902133,0.3571755234830797,68.83263761981836,7719.1673369099035,87.85879202965349,0.34031763667030834,0.013241799955721945,0.004320100008044392,{}
ridge_regression,68.63959541124318,7723.250599538248,87.88202660122403,0.35631203131104605,68.88693492834537,7726.325936993612,87.89952182460159,0.33970586055311336,0.24481120001291856,0.019859099993482232,"{""alpha"": 100.0}"
linear_regression,68.64287676455834,7723.334146917692,87.88250193819981,0.35630506812342566,68.89005345140617,7726.998364602437,87.90334672014733,0.339648394687328,0.33056909998413175,0.024088200007099658,{}
hist_gradient_boosting,68.8790302963412,7797.363899981212,88.30268342457782,0.35013511924531326,68.92822086515075,7761.023305248216,88.09667022792755,0.33674061302154723,0.6949529999983497,0.037377199972979724,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
extra_trees,68.94278672626949,7823.783852583541,88.45215572603949,0.3479331700266166,69.07267350191451,7794.554373580538,88.28677349173283,0.333875037832282,5.015504299954046,0.07038620003731921,"{""max_depth"": 14, ""min_samples_leaf"": 5}"
random_forest,70.29200274701758,8002.366217409393,89.45594567947619,0.33304936971780685,70.36384114500234,7937.884098531431,89.09480399288968,0.32162603640969456,1.606482099974528,0.09087509999517351,"{""max_depth"": null, ""min_samples_leaf"": 2}"
decision_tree,70.95348852984618,8498.74290885298,92.18862678689264,0.29167926264929234,70.82952652417073,8380.871099537764,91.54709771225828,0.28376823400776163,0.8925788000342436,0.02233669999986887,"{""max_depth"": 10, ""min_samples_leaf"": 10}"
seasonal_lag_7_baseline,120.6387619047619,24092.931904761906,155.21898049131076,-1.0080055926794191,118.57622641509434,23099.080943396228,151.98381803138196,-0.9740544079957056,0.0,0.0,{}
